Time,sanitized_timestamp_for_iri,s4MMET.POAInsol1.mag.f,s4PVSTMP.Tmp.mag.f
2024-06-30T00:20:00,20240630002000,0.182,17.4
2024-06-30T00:30:00,20240630003000,0.176,17.1
2024-06-30T00:40:00,20240630004000,0.15,17.4
2024-06-30T00:50:00,20240630005000,0.123,17.6
2024-06-30T01:00:00,20240630010000,0.113,17.5
2024-06-30T01:10:00,20240630011000,0.203,17.2
2024-06-30T01:20:00,20240630012000,0.0727,17.2
2024-06-30T01:30:00,20240630013000,0.141,17.0
2024-06-30T01:40:00,20240630014000,0.0892,16.9
2024-06-30T01:50:00,20240630015000,0.162,16.9
2024-06-30T02:00:00,20240630020000,0.123,16.8
2024-06-30T02:10:00,20240630021000,0.0861,17.0
2024-06-30T02:20:00,20240630022000,0.097,16.5
2024-06-30T02:30:00,20240630023000,0.146,16.5
2024-06-30T02:40:00,20240630024000,0.146,16.2
2024-06-30T02:50:00,20240630025000,0.183,15.7
2024-06-30T03:00:00,20240630030000,0.147,15.8
2024-06-30T03:10:00,20240630031000,0.234,15.9
